DatasetSize,Algorithm,TimeMilliseconds
100,"Сортировка пузырьком",0.0000
100,"Сортировка вставками",0.0000
100,"Шейкер-сортировка",0.0000
100,"std::sort",0.0000
8100,"Сортировка пузырьком",522.2507
8100,"Сортировка вставками",384.5117
8100,"Шейкер-сортировка",477.6236
8100,"std::sort",0.0000
16100,"Сортировка пузырьком",2195.0204
16100,"Сортировка вставками",1598.3261
16100,"Шейкер-сортировка",1943.7139
16100,"std::sort",0.0000
24100,"Сортировка пузырьком",5090.6820
24100,"Сортировка вставками",3564.9695
24100,"Шейкер-сортировка",4524.7341
24100,"std::sort",11.3666
32100,"Сортировка пузырьком",9166.7098
32100,"Сортировка вставками",7021.2173
32100,"Шейкер-сортировка",7963.8032
32100,"std::sort",13.7715
40100,"Сортировка пузырьком",14591.4626
40100,"Сортировка вставками",12180.8768
40100,"Шейкер-сортировка",12405.0668
40100,"std::sort",17.9843
48100,"Сортировка пузырьком",21016.4467
48100,"Сортировка вставками",17444.6399
48100,"Шейкер-сортировка",18113.6616
48100,"std::sort",17.0114
56100,"Сортировка пузырьком",28608.2598
56100,"Сортировка вставками",25362.7940
56100,"Шейкер-сортировка",24553.4845
56100,"std::sort",15.7914
64100,"Сортировка пузырьком",37129.4286
64100,"Сортировка вставками",49088.3406
64100,"Шейкер-сортировка",31730.5170
64100,"std::sort",14.7514
72100,"Сортировка пузырьком",47372.4673
72100,"Сортировка вставками",50788.6430
72100,"Шейкер-сортировка",40750.4397
72100,"std::sort",31.7627
80100,"Сортировка пузырьком",58759.9816
80100,"Сортировка вставками",76620.5256
80100,"Шейкер-сортировка",50210.8579
80100,"std::sort",27.9750
88100,"Сортировка пузырьком",70071.0595
88100,"Сортировка вставками",83584.2717
88100,"Шейкер-сортировка",60228.7953
88100,"std::sort",32.5458
96100,"Сортировка пузырьком",83574.3108
96100,"Сортировка вставками",109483.4274
96100,"Шейкер-сортировка",71619.4974
96100,"std::sort",33.0000
